,reg_1,reg_2
37050,Sonoma Coast,Sonoma
37051,Santa Ynez Valley,Central Coast
37052,Paso Robles,Central Coast
37053,San Luis Obispo County,Central Coast
37054,Santa Lucia Highlands,Central Coast
37055,Edna Valley,Central Coast
37056,Walla Walla Valley (WA),Columbia Valley
37057,Walla Walla Valley (WA),Columbia Valley
37058,Marin County,North Coast
37059,Paso Robles,Central Coast
37060,Walla Walla Valley (WA),Columbia Valley
37061,Santa Ynez Valley,Central Coast
37062,Santa Lucia Highlands,Central Coast
37063,Santa Lucia Highlands,Central Coast
37064,Santa Maria Valley,Central Coast
37065,Edna Valley,Central Coast
37066,Russian River Valley,Sonoma
37067,Santa Maria Valley,Central Coast
37068,Santa Maria Valley,Central Coast
37069,Walla Walla Valley (WA),Columbia Valley
37070,Dundee Hills,Willamette Valley
37071,Oakville,Napa
37072,Spring Mountain District,Napa
37073,Sonoma Coast,Sonoma
37074,Chehalem Mountains,Willamette Valley
37075,Howell Mountain,Napa
37076,Napa Valley,Napa
37077,Napa Valley,Napa
37078,Rutherford,Napa
37079,Oakville,Napa
37080,Dundee Hills,Willamette Valley
37081,Napa Valley,Napa
37082,Yakima Valley,Columbia Valley
37083,Paso Robles,Central Coast
37084,Santa Cruz Mountains,Central Coast
37085,Horse Heaven Hills,Columbia Valley
37086,Yakima Valley,Columbia Valley
37087,Napa Valley,Napa
37088,Columbia Valley (WA),Columbia Valley
37089,Edna Valley,Central Coast
37090,El Dorado,Sierra Foothills
37091,Napa Valley,Napa
37092,Yakima Valley,Columbia Valley
37093,Napa Valley,Napa
37094,Russian River Valley,Sonoma
37095,Monterey County,Central Coast
37096,Columbia Valley (WA),Columbia Valley
37097,Napa Valley,Napa
37098,Columbia Valley (WA),Columbia Valley
37099,Paso Robles,Central Coast
37100,Napa Valley,Napa
37101,Dry Creek Valley,Sonoma
37102,Chehalem Mountains,Willamette Valley
37103,Santa Maria Valley,Central Coast
37104,Clarksburg,Central Valley
37105,California,California Other
37106,California,California Other
37107,California,California Other
37108,Paso Robles,Central Coast
37109,Russian River Valley,Sonoma
37110,California,California Other
37111,Carneros,Napa-Sonoma
37112,Russian River Valley,Sonoma
37113,Russian River Valley,Sonoma
37114,Columbia Valley (WA),Columbia Valley
37115,Columbia Valley (WA),Columbia Valley
37116,Oregon,Oregon Other
37117,Edna Valley,Central Coast
37118,Amador County,Sierra Foothills
37119,Livermore Valley,Central Coast
37120,Dry Creek Valley,Sonoma
37121,Napa Valley,Napa
37122,Sonoma Mountain,Sonoma
37123,Temecula Valley,South Coast
37124,Santa Lucia Highlands,Central Coast
37125,Dundee Hills,Willamette Valley
37126,Napa Valley,Napa
37127,Sta. Rita Hills,Central Coast
37128,Oakville,Napa
37129,Russian River Valley,Sonoma
37130,Paso Robles,Central Coast
37131,Santa Maria Valley,Central Coast
37132,Rutherford,Napa
37133,Stags Leap District,Napa
37134,Napa Valley,Napa
37135,Napa Valley,Napa
37136,Napa Valley,Napa
37137,Sta. Rita Hills,Central Coast
37138,Santa Barbara County,Central Coast
37139,Sonoma County,Sonoma
37140,California,California Other
37141,Paso Robles,Central Coast
37142,Carneros,Napa-Sonoma
37143,Sonoma County,Sonoma
37144,California,California Other
37145,Oregon,Oregon Other
37146,Sta. Rita Hills,Central Coast
37147,Alexander Valley,Sonoma
37148,Alexander Valley,Sonoma
37149,Temecula Valley,South Coast
37150,Lodi,Central Valley
37151,Sonoma Coast,Sonoma
37152,North Fork of Long Island,Long Island
37153,Paso Robles,Central Coast
37154,Rutherford,Napa
37155,Livermore Valley,Central Coast
37156,California,California Other
37157,Carneros,Napa-Sonoma
37158,Columbia Valley (WA),Columbia Valley
37159,Sonoma County,Sonoma
37160,Fort Ross-Seaview,Sonoma
37161,Santa Barbara County,Central Coast
37162,Russian River Valley,Sonoma
37163,Santa Lucia Highlands,Central Coast
37164,Napa Valley,Napa
37165,Livermore Valley,Central Coast
37166,Paso Robles,Central Coast
37167,Santa Barbara County,Central Coast
37168,Santa Barbara County,Central Coast
37169,Livermore Valley,Central Coast
37170,Columbia Valley (WA),Columbia Valley
37171,Lodi,Central Valley
37172,Sonoma Valley,Sonoma
37173,Horse Heaven Hills,Columbia Valley
37174,Wahluke Slope,Columbia Valley
37175,North Fork of Long Island,Long Island
37176,Wahluke Slope,Columbia Valley
37177,Wahluke Slope,Columbia Valley
37178,Hudson River Region,New York Other
37179,Santa Barbara County,Central Coast
37180,Yakima Valley,Columbia Valley
37181,Columbia Valley (WA),Columbia Valley
37182,Santa Ynez Valley,Central Coast
37183,Walla Walla Valley (WA),Columbia Valley
37184,Sta. Rita Hills,Central Coast
37185,Napa Valley,Napa
37186,Columbia Valley (WA),Columbia Valley
37187,Russian River Valley,Sonoma
37188,Russian River Valley,Sonoma
37189,Russian River Valley,Sonoma
37190,Alexander Valley,Sonoma
37191,California,California Other
37192,Sta. Rita Hills,Central Coast
37193,Livermore Valley,Central Coast
37194,California,California Other
37195,Napa Valley,Napa
37196,California,California Other
37197,Lodi,Central Valley
37198,Yolo County,Central Valley
37199,Columbia Valley (WA),Columbia Valley
37200,Carneros,Napa-Sonoma
37201,Red Mountain,Columbia Valley
37202,Sonoma Coast,Sonoma
37203,Columbia Valley (WA),Columbia Valley
37204,Napa Valley,Napa
37205,Sonoma Coast,Sonoma
37206,Alexander Valley,Sonoma
37207,Seneca Lake,Finger Lakes
37208,Columbia Valley (WA),Columbia Valley
37209,Columbia Valley (WA),Columbia Valley
37210,Columbia Valley (WA),Columbia Valley
37211,Horse Heaven Hills,Columbia Valley
37212,Napa Valley,Napa
37213,Napa Valley,Napa
37214,Northern Sonoma,Sonoma
37215,Santa Clara Valley,Central Coast
37216,Fiddletown,Sierra Foothills
37217,Columbia Valley (WA),Columbia Valley
37218,San Francisco Bay-Livermore Valley,Central Coast
37219,Napa Valley,Napa
37220,Dunnigan Hills,Central Valley
37221,Mount Veeder,Napa
37222,Lodi,Central Valley
37223,Oregon,Oregon Other
37224,Napa Valley,Napa
37225,Yakima Valley,Columbia Valley
37226,Carneros,Napa-Sonoma
37227,Russian River Valley,Sonoma
37228,Paso Robles,Central Coast
37229,Rogue Valley,Southern Oregon
37230,Eola-Amity Hills,Willamette Valley
37231,Carneros-Napa Valley,Napa
37232,Russian River Valley,Sonoma
37233,Paso Robles,Central Coast
37234,Temecula Valley,South Coast
37235,Russian River Valley,Sonoma
37236,Paso Robles,Central Coast
37237,Carneros,Napa-Sonoma
37238,Red Mountain,Columbia Valley
37239,Eola-Amity Hills,Willamette Valley
37240,Wahluke Slope,Columbia Valley
37241,Columbia Valley (WA),Columbia Valley
37242,Monterey County,Central Coast
37243,Umpqua Valley,Southern Oregon
37244,Walla Walla Valley (WA),Columbia Valley
37245,Oregon,Oregon Other
37246,Santa Ynez Valley,Central Coast
37247,Alexander Valley,Sonoma
37248,Paso Robles,Central Coast
37249,Edna Valley,Central Coast
37250,Carneros,Napa-Sonoma
37251,Seneca Lake,Finger Lakes
37252,Seneca Lake,Finger Lakes
37253,Russian River Valley,Sonoma
37254,Amador County,Sierra Foothills
37255,New York,New York Other
37256,Carneros-Napa Valley,Napa
37257,Napa Valley,Napa
37258,Fort Ross-Seaview,Sonoma
37259,Yountville,Napa
37260,Sta. Rita Hills,Central Coast
37261,Santa Maria Valley,Central Coast
37262,Napa Valley,Napa
37263,Walla Walla Valley (WA),Columbia Valley
37264,Walla Walla Valley (WA),Columbia Valley
37265,Yakima Valley,Columbia Valley
37266,Red Mountain,Columbia Valley
37267,Dundee Hills,Willamette Valley
37268,Calistoga,Napa
37269,Russian River Valley,Sonoma
37270,Sonoma Coast,Sonoma
37271,Russian River Valley,Sonoma
37272,Knights Valley,Sonoma
37273,Eola-Amity Hills,Willamette Valley
37274,Paso Robles,Central Coast
37275,Washington,Washington Other
37276,Sonoma Valley,Sonoma
37277,Santa Barbara County,Central Coast
37278,California,California Other
37279,Sonoma Coast,Sonoma
37280,Red Mountain,Columbia Valley
37281,Sonoma County,Sonoma
37282,Napa Valley,Napa
37283,Columbia Valley (WA),Columbia Valley
37284,Walla Walla Valley (WA),Columbia Valley
37285,California,California Other
37286,Carneros-Napa Valley,Napa
37287,Napa County-Sonoma County,Napa-Sonoma
37288,Napa Valley,Napa
37289,Oregon,Oregon Other
37290,Napa Valley,Napa
37291,Dundee Hills,Willamette Valley
37292,Sonoma Valley,Sonoma
37293,Alexander Valley,Sonoma
37294,Paso Robles,Central Coast
37295,Lodi,Central Valley
37296,Santa Barbara County,Central Coast
37297,Dry Creek Valley,Sonoma
37298,Knights Valley,Sonoma
37299,Sonoma County,Sonoma
37300,Livermore Valley,Central Coast
37301,Columbia Valley (WA),Columbia Valley
37302,Columbia Valley (WA),Columbia Valley
37303,California,California Other
37304,Knights Valley,Sonoma
37305,Edna Valley,Central Coast
37306,Columbia Valley (WA),Columbia Valley
37307,Livermore Valley,Central Coast
37308,Russian River Valley,Sonoma
37309,Russian River Valley,Sonoma
37310,Columbia Valley (WA),Columbia Valley
37311,Sonoma Coast,Sonoma
37312,Sonoma Coast,Sonoma
37313,California,California Other
37314,Columbia Valley (WA),Columbia Valley
37315,Russian River Valley,Sonoma
37316,Russian River Valley,Sonoma
37317,Napa Valley,Napa
37318,Columbia Valley (WA),Columbia Valley
37319,Russian River Valley,Sonoma
37320,Dry Creek Valley,Sonoma
37321,Sonoma County,Sonoma
37322,Sonoma Valley,Sonoma
37323,Walla Walla Valley (WA),Columbia Valley
37324,Temecula Valley,South Coast
37325,Santa Maria Valley,Central Coast
37326,Sonoma Coast,Sonoma
37327,Yakima Valley,Columbia Valley
37328,San Bernabe,Central Coast
37329,Sonoma Coast,Sonoma
37330,Red Mountain,Columbia Valley
37331,Russian River Valley,Sonoma
37332,Santa Cruz Mountains,Central Coast
37333,Yakima Valley,Columbia Valley
37334,Sonoma Mountain,Sonoma
37335,Santa Barbara County,Central Coast
37336,Santa Ynez Valley,Central Coast
37337,Paso Robles,Central Coast
37338,Napa Valley,Napa
37339,Napa Valley,Napa
37340,St. Helena,Napa
37341,Santa Lucia Highlands,Central Coast
37342,Napa Valley,Napa
37343,Russian River Valley,Sonoma
37344,Sta. Rita Hills,Central Coast
37345,Oregon,Oregon Other
37346,Sonoma County,Sonoma
37347,Wahluke Slope,Columbia Valley
37348,Yakima Valley,Columbia Valley
37349,Napa Valley,Napa
37350,Walla Walla Valley (WA),Columbia Valley
37351,Lake Chelan,Columbia Valley
37352,Mount Veeder,Napa
37353,Russian River Valley,Sonoma
37354,Green Valley,Sonoma
37355,Paso Robles,Central Coast
37356,Santa Lucia Highlands,Central Coast
37357,Sonoma Coast,Sonoma
37358,Santa Lucia Highlands,Central Coast
37359,Columbia Valley (WA),Columbia Valley
37360,Carneros,Napa-Sonoma
37361,Columbia Valley (WA),Columbia Valley
37362,Santa Ynez Valley,Central Coast
37363,Ribbon Ridge,Willamette Valley
37364,Russian River Valley,Sonoma
37365,Sonoma Coast,Sonoma
37366,Arroyo Grande Valley,Central Coast
37367,Santa Maria Valley,Central Coast
37368,Sonoma Coast,Sonoma
37369,Diamond Mountain District,Napa
37370,Spring Mountain District,Napa
37371,Lodi,Central Valley
37372,Santa Maria Valley,Central Coast
37373,Napa Valley,Napa
37374,Santa Cruz Mountains,Central Coast
37375,Sta. Rita Hills,Central Coast
37376,Marin County,North Coast
37377,Paso Robles,Central Coast
37378,Sonoma County-Napa County,Napa-Sonoma
37379,Los Carneros,Napa-Sonoma
37380,Napa Valley,Napa
37381,California,California Other
37382,Paso Robles,Central Coast
37383,Paso Robles,Central Coast
37384,Paso Robles,Central Coast
37385,Walla Walla Valley (WA),Columbia Valley
37386,Sonoma Coast,Sonoma
37387,Diamond Mountain District,Napa
37388,Red Mountain,Columbia Valley
37389,Russian River Valley,Sonoma
37390,Walla Walla Valley (WA),Columbia Valley
37391,Santa Lucia Highlands,Central Coast
37392,Santa Lucia Highlands,Central Coast
37393,Columbia Valley (WA),Columbia Valley
37394,Sonoma Valley,Sonoma
37395,Sonoma Coast,Sonoma
37396,Columbia Valley (WA),Columbia Valley
37397,Red Mountain,Columbia Valley
37398,Columbia Valley (WA),Columbia Valley
37399,Columbia Valley (WA),Columbia Valley
37400,Dry Creek Valley,Sonoma
37401,Red Mountain,Columbia Valley
37402,Monterey,Central Coast
37403,California,California Other
37404,Russian River Valley,Sonoma
37405,Sonoma Coast,Sonoma
37406,Diamond Mountain District,Napa
37407,Diamond Mountain District,Napa
37408,Arroyo Seco,Central Coast
37409,Paso Robles,Central Coast
37410,Dundee Hills,Willamette Valley
37411,Santa Barbara County,Central Coast
37412,Napa Valley,Napa
37413,Livermore Valley,Central Coast
37414,Sonoma Coast,Sonoma
37415,Sonoma Coast,Sonoma
37416,Eola-Amity Hills,Willamette Valley
37417,Columbia Valley (WA),Columbia Valley
37418,Monterey,Central Coast
37419,Napa Valley,Napa
37420,Applegate Valley,Southern Oregon
37421,St. Helena,Napa
37422,Washington,Washington Other
37423,El Pomar District,Central Coast
37424,Sonoma County,Sonoma
37425,Russian River Valley,Sonoma
37426,Paso Robles,Central Coast
37427,Oakville,Napa
37428,Oregon,Oregon Other
37429,Eola-Amity Hills,Willamette Valley
37430,Russian River Valley,Sonoma
37431,Rogue Valley,Southern Oregon
37432,Paso Robles,Central Coast
37433,St. Helena,Napa
37434,Howell Mountain,Napa
37435,Chehalem Mountains,Willamette Valley
37436,Russian River Valley,Sonoma
37437,Paso Robles,Central Coast
37438,Russian River Valley,Sonoma
37439,North Fork of Long Island,Long Island
37440,Sonoma County,Sonoma
37441,Washington,Washington Other
37442,Walla Walla Valley (WA),Columbia Valley
37443,Sonoma County,Sonoma
37444,Napa Valley,Napa
37445,Carneros,Napa-Sonoma
37446,Chalone,Central Coast
37447,Wahluke Slope,Columbia Valley
37448,Alexander Valley,Sonoma
37449,Sonoma Coast,Sonoma
37450,Horse Heaven Hills,Columbia Valley
37451,Russian River Valley,Sonoma
37452,Alexander Valley,Sonoma
37453,Russian River Valley,Sonoma
37454,Rutherford,Napa
37455,Russian River Valley,Sonoma
37456,Napa Valley,Napa
37457,Sonoma Coast,Sonoma
37458,Sonoma Coast,Sonoma
37459,Knights Valley,Sonoma
37460,Sonoma Coast,Sonoma
37461,Columbia Valley (WA),Columbia Valley
37462,Rutherford,Napa
37463,Oakville,Napa
37464,Rattlesnake Hills,Columbia Valley
37465,California,California Other
37466,Carneros,Napa-Sonoma
37467,Sonoma Coast,Sonoma
37468,Columbia Valley (WA),Columbia Valley
37469,North Fork of Long Island,Long Island
37470,Santa Ynez Valley,Central Coast
37471,Carneros,Napa-Sonoma
37472,Lodi,Central Valley
37473,Columbia Valley (WA),Columbia Valley
37474,Columbia Valley (WA),Columbia Valley
37475,Horse Heaven Hills,Columbia Valley
37476,Columbia Valley (WA),Columbia Valley
37477,Columbia Valley (WA),Columbia Valley
37478,Columbia Valley (WA),Columbia Valley
37479,Napa Valley,Napa
37480,California,California Other
37481,Ribbon Ridge,Willamette Valley
37482,Oregon,Oregon Other
37483,Oregon,Oregon Other
37484,Chehalem Mountains,Willamette Valley
37485,Rockpile,Sonoma
37486,Carneros,Napa-Sonoma
37487,Alexander Valley,Sonoma
37488,Alexander Valley,Sonoma
37489,Russian River Valley,Sonoma
37490,San Bernabe,Central Coast
37491,Paso Robles,Central Coast
37492,Lodi,Central Valley
37493,Columbia Valley (WA),Columbia Valley
37494,Napa County,Napa
37495,Russian River Valley,Sonoma
37496,Columbia Valley (WA),Columbia Valley
37497,Columbia Valley (WA),Columbia Valley
37498,Russian River Valley,Sonoma
37499,Napa Valley,Napa
37500,Columbia Valley (WA),Columbia Valley
37501,Dry Creek Valley,Sonoma
37502,Contra Costa County,Central Coast
37503,Sonoma Coast,Sonoma
37504,Paso Robles,Central Coast
37505,Oakville,Napa
37506,Livermore Valley,Central Coast
37507,Walla Walla Valley (WA),Columbia Valley
37508,Columbia Valley (WA),Columbia Valley
37509,Columbia Valley (WA),Columbia Valley
37510,Columbia Valley (WA),Columbia Valley
37511,Columbia Valley (WA),Columbia Valley
37512,Yakima Valley,Columbia Valley
37513,North Fork of Long Island,Long Island
37514,Columbia Valley (WA),Columbia Valley
37515,Russian River Valley,Sonoma
37516,Horse Heaven Hills,Columbia Valley
37517,Livermore Valley,Central Coast
37518,Paso Robles,Central Coast
37519,Columbia Valley (WA),Columbia Valley
37520,Horse Heaven Hills,Columbia Valley
37521,Edna Valley,Central Coast
37522,Yakima Valley,Columbia Valley
37523,Yakima Valley,Columbia Valley
37524,Chalk Hill,Sonoma
37525,Santa Maria Valley,Central Coast
37526,California,California Other
37527,Horse Heaven Hills,Columbia Valley
37528,Paso Robles,Central Coast
37529,Sta. Rita Hills,Central Coast
37530,Paso Robles,Central Coast
37531,Santa Ynez Valley,Central Coast
37532,Red Mountain,Columbia Valley
37533,Columbia Valley (WA),Columbia Valley
37534,Santa Lucia Highlands,Central Coast
37535,Oakville,Napa
37536,Napa Valley,Napa
37537,Wahluke Slope,Columbia Valley
37538,Santa Maria Valley,Central Coast
37539,Paso Robles,Central Coast
37540,Santa Maria Valley,Central Coast
37541,Carneros,Napa-Sonoma
37542,Columbia Valley (WA),Columbia Valley
37543,Walla Walla Valley (WA),Columbia Valley
37544,Yolo County,Central Valley
37545,Columbia Valley (WA),Columbia Valley
37546,Napa Valley,Napa
37547,Walla Walla Valley (WA),Columbia Valley
37548,Green Valley,Sonoma
37549,Dry Creek Valley,Sonoma
37550,Red Mountain,Columbia Valley
37551,Walla Walla Valley (WA),Columbia Valley
37552,Russian River Valley,Sonoma
37553,Russian River Valley,Sonoma
37554,Wahluke Slope,Columbia Valley
37555,Napa Valley,Napa
37556,Paso Robles,Central Coast
37557,Sta. Rita Hills,Central Coast
37558,Carneros,Napa-Sonoma
37559,California,California Other
37560,Napa Valley,Napa
37561,Santa Lucia Highlands,Central Coast
37562,California,California Other
37563,Sonoma Valley,Sonoma
37564,California,California Other
37565,California,California Other
37566,Paso Robles,Central Coast
37567,California,California Other
37568,California,California Other
37569,Paso Robles,Central Coast
37570,Paso Robles,Central Coast
37571,California,California Other
37572,Wahluke Slope,Columbia Valley
37573,Paso Robles,Central Coast
37574,Paso Robles,Central Coast
37575,Monterey,Central Coast
37576,Santa Ynez Valley,Central Coast
37577,Santa Ynez Valley,Central Coast
37578,Sonoma Coast,Sonoma
37579,Paso Robles,Central Coast
37580,Napa Valley,Napa
37581,Santa Cruz Mountains,Central Coast
37582,Napa Valley,Napa
37583,Sonoma County,Sonoma
37584,Sonoma Mountain,Sonoma
37585,Dundee Hills,Willamette Valley
37586,San Francisco Bay,Central Coast
37587,Dundee Hills,Willamette Valley
37588,Russian River Valley,Sonoma
37589,Napa Valley,Napa
37590,El Dorado County,Sierra Foothills
37591,Walla Walla Valley (OR),Oregon Other
37592,Sonoma County,Sonoma
37593,Lodi,Central Valley
37594,Napa Valley,Napa
37595,Dry Creek Valley,Sonoma
37596,California,California Other
37597,Paso Robles,Central Coast
37598,Columbia Valley (WA),Columbia Valley
37599,Lodi,Central Valley
37600,El Dorado,Sierra Foothills
37601,Paso Robles,Central Coast
37602,Napa Valley,Napa
37603,Ribbon Ridge,Willamette Valley
37604,Sonoma Coast,Sonoma
37605,Napa Valley,Napa
37606,Russian River Valley,Sonoma
37607,Monterey,Central Coast
37608,Dundee Hills,Willamette Valley
37609,Umpqua Valley,Southern Oregon
37610,Chehalem Mountains,Willamette Valley
37611,Chehalem Mountains,Willamette Valley
37612,Russian River Valley,Sonoma
37613,Columbia Valley (WA),Columbia Valley
37614,Napa Valley,Napa
37615,Knights Valley,Sonoma
37616,Dry Creek Valley,Sonoma
37617,Lodi,Central Valley
37618,Paso Robles,Central Coast
37619,Sonoma Coast,Sonoma
37620,Carneros,Napa-Sonoma
37621,Sta. Rita Hills,Central Coast
37622,Sonoma Coast,Sonoma
37623,Sonoma Mountain,Sonoma
37624,Livermore Valley,Central Coast
37625,Columbia Valley (WA),Columbia Valley
37626,California,California Other
37627,Spring Mountain District,Napa
37628,Sta. Rita Hills,Central Coast
37629,Dundee Hills,Willamette Valley
37630,Umpqua Valley,Southern Oregon
37631,Oregon,Oregon Other
37632,Dundee Hills,Willamette Valley
37633,Oregon,Oregon Other
37634,Sonoma County,Sonoma
37635,Oregon,Oregon Other
37636,Clarksburg,Central Valley
37637,Washington,Washington Other
37638,Napa Valley,Napa
37639,Columbia Valley (WA),Columbia Valley
37640,"The Hamptons, Long Island",Long Island
37641,Stags Leap District,Napa
37642,Green Valley,Sonoma
37643,Paso Robles,Central Coast
37644,Santa Ynez Valley,Central Coast
37645,Santa Ynez Valley,Central Coast
37646,New York,New York Other
37647,Santa Lucia Highlands,Central Coast
37648,North Fork of Long Island,Long Island
37649,Edna Valley,Central Coast
37650,Monterey,Central Coast
37651,Oregon,Oregon Other
37652,Russian River Valley,Sonoma
37653,Carneros,Napa-Sonoma
37654,Umpqua Valley,Southern Oregon
37655,Oregon,Oregon Other
37656,St. Helena,Napa
37657,Arroyo Seco,Central Coast
37658,Russian River Valley,Sonoma
37659,Napa Valley,Napa
37660,Nevada County,Sierra Foothills
37661,Sonoma County,Sonoma
37662,Napa Valley,Napa
37663,Lodi,Central Valley
37664,California,California Other
37665,Lodi,Central Valley
37666,Santa Clara Valley,Central Coast
37667,Santa Cruz Mountains,Central Coast
37668,Russian River Valley,Sonoma
37669,Lodi,Central Valley
37670,Lodi,Central Valley
37671,Napa Valley,Napa
37672,Napa Valley,Napa
37673,Lodi,Central Valley
37674,California,California Other
37675,Santa Lucia Highlands,Central Coast
37676,Russian River Valley,Sonoma
37677,Oak Knoll District,Napa
37678,Russian River Valley,Sonoma
37679,Russian River Valley,Sonoma
37680,Red Mountain,Columbia Valley
37681,Red Mountain,Columbia Valley
37682,Walla Walla Valley (WA),Columbia Valley
37683,Walla Walla Valley (WA),Columbia Valley
37684,Yakima Valley,Columbia Valley
37685,Yakima Valley,Columbia Valley
37686,Sta. Rita Hills,Central Coast
37687,Red Mountain,Columbia Valley
37688,Columbia Valley (WA),Columbia Valley
37689,Paso Robles,Central Coast
37690,Walla Walla Valley (WA),Columbia Valley
37691,Red Mountain,Columbia Valley
37692,Santa Maria Valley,Central Coast
37693,Happy Canyon of Santa Barbara,Central Coast
37694,Mount Veeder,Napa
37695,Dundee Hills,Willamette Valley
37696,Napa Valley,Napa
37697,Sonoma Coast,Sonoma
37698,Columbia Valley (WA),Columbia Valley
37699,Sta. Rita Hills,Central Coast
37700,Santa Lucia Highlands,Central Coast
37701,Dundee Hills,Willamette Valley
37702,Eola-Amity Hills,Willamette Valley
37703,Columbia Valley (WA),Columbia Valley
37704,Horse Heaven Hills,Columbia Valley
37705,Oakville,Napa
37706,Walla Walla Valley (WA),Columbia Valley
37707,Yakima Valley,Columbia Valley
37708,Russian River Valley,Sonoma
37709,Sonoma Coast,Sonoma
37710,Napa Valley,Napa
37711,Columbia Gorge (OR),Oregon Other
37712,Russian River Valley,Sonoma
37713,Yakima Valley,Columbia Valley
37714,Columbia Valley (WA),Columbia Valley
37715,San Benito County,Central Coast
37716,Dry Creek Valley,Sonoma
37717,Dry Creek Valley,Sonoma
37718,California,California Other
37719,California,California Other
37720,Ribbon Ridge,Willamette Valley
37721,Oakville,Napa
37722,Green Valley,Sonoma
37723,Russian River Valley,Sonoma
37724,Green Valley,Sonoma
37725,St. Helena,Napa
37726,Sonoma Coast,Sonoma
37727,Dry Creek Valley,Sonoma
37728,Marin County,North Coast
37729,Columbia Valley (WA),Columbia Valley
37730,Mount Veeder,Napa
37731,Napa Valley,Napa
37732,Russian River Valley,Sonoma
37733,Santa Cruz Mountains,Central Coast
37734,Columbia Valley (WA),Columbia Valley
37735,Carneros,Napa-Sonoma
37736,Napa Valley,Napa
37737,California,California Other
37738,Monterey,Central Coast
37739,Sonoma Valley,Sonoma
37740,Carneros,Napa-Sonoma
37741,California,California Other
37742,Walla Walla Valley (WA),Columbia Valley
37743,California,California Other
37744,Carneros,Napa-Sonoma
37745,Paso Robles,Central Coast
37746,Napa Valley,Napa
37747,Yakima Valley,Columbia Valley
37748,California,California Other
37749,Sonoma Valley,Sonoma
37750,Arroyo Seco,Central Coast
37751,Lodi,Central Valley
37752,Napa Valley,Napa
37753,Seneca Lake,Finger Lakes
37754,Napa Valley,Napa
37755,Rutherford,Napa
37756,Horse Heaven Hills,Columbia Valley
37757,Columbia Valley (WA),Columbia Valley
37758,Wahluke Slope,Columbia Valley
37759,Hudson River Region,New York Other
37760,New York,New York Other
37761,Napa County,Napa
37762,Columbia Valley (WA),Columbia Valley
37763,Russian River Valley,Sonoma
37764,McMinnville,Willamette Valley
37765,St. Helena,Napa
37766,Carneros,Napa-Sonoma
37767,St. Helena,Napa
37768,Alexander Valley,Sonoma
37769,Paso Robles,Central Coast
37770,California,California Other
37771,Green Valley,Sonoma
37772,Napa Valley,Napa
37773,California,California Other
37774,Paso Robles,Central Coast
37775,Columbia Valley (WA),Columbia Valley
37776,Horse Heaven Hills,Columbia Valley
37777,Napa Valley,Napa
37778,Temecula Valley,South Coast
37779,Columbia Valley (WA),Columbia Valley
37780,Russian River Valley,Sonoma
37781,Dry Creek Valley,Sonoma
37782,Carneros,Napa-Sonoma
37783,Napa Valley,Napa
37784,Columbia Valley (WA),Columbia Valley
37785,Santa Clara Valley,Central Coast
37786,Red Mountain,Columbia Valley
37787,Napa Valley,Napa
37788,Columbia Valley (WA),Columbia Valley
37789,Santa Cruz Mountains,Central Coast
37790,California,California Other
37791,Chalone,Central Coast
37792,Monterey,Central Coast
37793,Sta. Rita Hills,Central Coast
37794,Carneros-Napa Valley,Napa
37795,Yountville,Napa
37796,Columbia Gorge (OR),Oregon Other
37797,Sonoma County,Sonoma
37798,Columbia Gorge (OR),Oregon Other
37799,Sonoma County,Sonoma
37800,Napa Valley,Napa
37801,Napa Valley,Napa
37802,Alexander Valley,Sonoma
37803,Rogue Valley,Southern Oregon
37804,Oregon,Oregon Other
37805,Alexander Valley,Sonoma
37806,Umpqua Valley,Southern Oregon
37807,Applegate Valley,Southern Oregon
37808,Dry Creek Valley,Sonoma
37809,Dry Creek Valley,Sonoma
37810,Rogue Valley,Southern Oregon
37811,Oregon,Oregon Other
37812,Sonoma Coast,Sonoma
37813,Columbia Valley (WA),Columbia Valley
37814,St. Helena,Napa
37815,Columbia Valley (WA),Columbia Valley
37816,Columbia Valley (WA),Columbia Valley
37817,Columbia Valley (WA),Columbia Valley
37818,Calistoga,Napa
37819,Napa Valley,Napa
37820,Napa Valley,Napa
37821,Russian River Valley,Sonoma
37822,Napa Valley,Napa
37823,Carneros,Napa-Sonoma
37824,Columbia Valley (WA),Columbia Valley
37825,Umpqua Valley,Southern Oregon
37826,Sonoma County,Sonoma
37827,Edna Valley,Central Coast
37828,Napa Valley,Napa
37829,Dundee Hills,Willamette Valley
37830,Santa Ynez Valley,Central Coast
37831,California,California Other
37832,Napa Valley,Napa
37833,Oakville,Napa
37834,Columbia Valley (WA),Columbia Valley
37835,Edna Valley,Central Coast
37836,Columbia Valley (WA),Columbia Valley
37837,Walla Walla Valley (WA),Columbia Valley
37838,North Fork of Long Island,Long Island
37839,Russian River Valley,Sonoma
37840,Edna Valley,Central Coast
37841,Columbia Valley (WA),Columbia Valley
37842,Columbia Valley (WA),Columbia Valley
37843,Santa Ynez Valley,Central Coast
37844,Dry Creek Valley,Sonoma
37845,Sonoma Coast,Sonoma
37846,Carneros,Napa-Sonoma
37847,Napa Valley,Napa
37848,Russian River Valley,Sonoma
37849,Happy Canyon of Santa Barbara,Central Coast
37850,Russian River Valley,Sonoma
37851,Columbia Valley (WA),Columbia Valley
37852,Columbia Valley (WA),Columbia Valley
37853,Russian River Valley,Sonoma
37854,Columbia Valley (WA),Columbia Valley
